movie,genre
The Shawshank Redemption,drama
The Godfather,crime
the dark knight,action
Pulp Fiction,crime
Forrest Gump,drama
Inception,sci-fi
The Matrix,sci-fi
Titanic,roamace
Gladiator,action
The Lion King,animation
Interstellar,sci-fi
Avengers: Endgame,action
Joker,drama
Jurassic Park,advanture
The Conjuring,horror
La La Land,musical
Spider-Man: No Way Home,action
Parasite,thriller
get out,horror
Frozen,animation
Mad Max: Fury Road,action
The Notebook,romance
Toy Story,animation
A Quiet Place,horror
Doctor Strange,sci-fi
